Country Name,Category,
"LOW-INCOME ECONOMIES ($1,145 OR LESS)     ",,
Afghanistan,"Korea, Dem. People's Rep ",South Sudan
Burkina Faso,Liberia,Sudan
Burundi,Madagascar,Syrian Arab Republic  
Central African Republic,Malawi,Togo
Chad,Mali,Uganda
"Congo, Dem. Rep",Mozambique,"Yemen, Rep."
Eritrea,Niger,
Ethiopia,Rwanda,
"Gambia, The",Sierra Leone,
Guinea-Bissau,Somalia,
,,
,,
"LOWER-MIDDLE INCOME ECONOMIES ($1,146 TO $4,515)      ",,
Angola,Honduras,Papua New Guinea  
Bangladesh,India,Philippines
Benin,Jordan,Samoa
Bhutan,Kenya,Sao Tome and Principe
Bolivia,Kiribati,Senegal
Cabo Verde,Kyrgyz Republic  ,Solomon Islands  
Cambodia,Lao PDR  ,Sri Lanka
Cameroon,Lebanon,Tajikistan
Comoros,Lesotho,Tanzania
"Congo, Rep.  ",Mauritania,Timor-Leste
Ivory Coast,"Micronesia, Fed. Sts.  ",Tunisia
Djibouti,Morocco,Uzbekistan
"Egypt, Arab Rep.",Myanmar,Vanuatu
Eswatini,Nepal,Vietnam
Ghana,Nicaragua,West Bank and Gaza
Guinea,Nigeria,Zambia
Haiti,Pakistan,Zimbabwe
,,
,,
"UPPER-MIDDLE-INCOME ECONOMIES ($4,516 TO $14,005) ",,
Albania,Equatorial Guinea  ,Moldova
Algeria,Fiji,Mongolia
Argentina,Gabon,Montenegro
Armenia,Georgia,Namibia
Azerbaijan,Grenada,North Macedonia
Belarus,Guatemala,Paraguay
Belize,Indonesia,Peru  
Bosnia and Herzegovina  ,"Iran, Islamic Rep.",Serbia
Botswana,Iraq,South Africa
Brazil,Jamaica,St. Lucia
China,Kazakhstan,St. Vincent and the Grenadines
Colombia,Kosovo,Suriname
Costa Rica  ,Libya,Thailand
Cuba,Malaysia,Tonga
Dominica,Maldives,Turkiye
Dominican Republic  ,Marshall Islands  ,Turkmenistan
Ecuador,Mauritius,Tuvalu
El Salvador,Mexico,Ukraine
,,
"HIGH-INCOME ECONOMIES ($14,006 OR MORE)  ",,
American Samoa,Gibraltar,Palau
Andorra,Greece,Panama
Antigua and Barbuda  ,Greenland,Poland
Aruba,Guam,Portugal
Australia,Guyana,Puerto Rico
Austria,"Hong Kong SAR, China  ",Qatar
"Bahamas, The  ",Hungary,Romania
Bahrain,Iceland,Russian Federation
Barbados,Ireland,San Marino
Belgium,Isle of Man  ,Saudi Arabia
Bermuda,Israel,Seychelles
British Virgin Islands  ,Italy,Singapore
Brunei Darussalam  ,Japan,Sint Maarten (Dutch part)
Bulgaria,"Korea, Rep.  ",Slovak Republic
Canada,Kuwait,Slovenia
Cayman Islands  ,Latvia,Spain
Channel Islands  ,Liechtenstein,St. Kitts and Nevis
Chile,Lithuania,St. Martin (French part)
Croatia,Luxembourg,Sweden
Curacao,"Macao SAR, China  ",Switzerland
Cyprus,Malta,"Taiwan, China"
Czechia,Monaco,Trinidad and Tobago
Denmark,Nauru,Turks and Caicos Islands
Estonia,Netherlands,United Arab Emirates
Faroe Islands  ,New Caledonia  ,United Kingdom
Finland,New Zealand  ,United States
France,Northern Mariana Islands  ,Uruguay
French Polynesia  ,Norway,Virgin Islands (U.S.)
Germany,Oman  ,
